time,open,high,low,close,volume
2026-06-29 14:55:00+00:00,59523.2,59544.68,59505.55,59525.32,0.0458185
2026-06-29 14:56:00+00:00,59527.59,59528.94,59419.67,59419.67,0.07377964
2026-06-29 14:58:00+00:00,59394.1,59439.0,59394.1,59433.76,0.003692
2026-06-29 14:59:00+00:00,59432.44,59442.49,59432.44,59442.49,0.000188
2026-06-29 15:00:00+00:00,59448.39,59448.39,59311.87,59311.87,0.10544054
2026-06-29 15:03:00+00:00,59272.95,59272.95,59186.28,59235.29,0.27791313
2026-06-29 15:04:00+00:00,59223.28,59229.51,59223.28,59229.51,0.0408056
2026-06-29 15:05:00+00:00,59179.09,59189.19,59145.08,59145.08,0.04619051
2026-06-29 15:06:00+00:00,59132.55,59162.1,59132.15,59162.1,0.02265633
2026-06-29 15:07:00+00:00,59122.26,59169.11,59122.26,59169.11,0.02567591
2026-06-29 15:08:00+00:00,59169.94,59216.98,59169.94,59216.98,0.01866443
2026-06-29 15:09:00+00:00,59222.09,59272.04,59222.09,59249.6,0.0284225
2026-06-29 15:10:00+00:00,59228.24,59228.24,59190.33,59197.13,0.00672822
2026-06-29 15:11:00+00:00,59181.64,59181.64,59117.36,59117.36,0.07543645
2026-06-29 15:12:00+00:00,59117.14,59117.14,59088.03,59114.29,0.09138646
2026-06-29 15:13:00+00:00,59111.3,59251.95,59111.3,59251.61,0.02435505
2026-06-29 15:15:00+00:00,59236.4,59282.96,59235.43,59265.36,0.04844642
2026-06-29 15:17:00+00:00,59288.19,59288.19,59288.19,59288.19,0.02
2026-06-29 15:18:00+00:00,59345.67,59345.67,59345.67,59345.67,0.00086002
2026-06-29 15:19:00+00:00,59384.43,59384.43,59320.3,59320.3,0.05899916
2026-06-29 15:20:00+00:00,59311.32,59349.16,59311.32,59336.53,0.007566
2026-06-29 15:21:00+00:00,59315.12,59319.23,59281.79,59300.92,0.0805687
2026-06-29 15:22:00+00:00,59250.52,59250.52,59145.95,59145.95,0.03475453
2026-06-29 15:24:00+00:00,59147.26,59190.86,59137.7,59190.86,0.17338907
2026-06-29 15:25:00+00:00,59192.37,59283.72,59152.89,59279.3,0.09802065
2026-06-29 15:27:00+00:00,59269.88,59293.65,59267.52,59293.64,0.02192923
2026-06-29 15:28:00+00:00,59311.43,59451.6,59311.43,59446.92,0.15500956
2026-06-29 15:29:00+00:00,59480.87,59480.88,59473.07,59473.09,0.07387215
2026-06-29 15:30:00+00:00,59511.59,59609.69,59511.59,59591.42,0.18884539
2026-06-29 15:31:00+00:00,59603.54,59765.49,59544.28,59658.67,0.57580467
2026-06-29 15:32:00+00:00,59684.32,59684.32,59617.51,59657.0,0.2290603
2026-06-29 15:33:00+00:00,59666.01,59666.01,59617.57,59638.28,0.12874439
2026-06-29 15:34:00+00:00,59635.95,59636.12,59635.95,59636.12,0.02259067
2026-06-29 15:35:00+00:00,59614.42,59766.09,59587.81,59766.09,0.25647154
2026-06-29 15:36:00+00:00,59784.73,59853.74,59784.72,59785.61,0.30214585
2026-06-29 15:37:00+00:00,59778.74,59808.53,59772.8,59808.53,0.11951533
2026-06-29 15:38:00+00:00,59823.21,59872.43,59823.21,59836.88,0.03420859
2026-06-29 15:40:00+00:00,59765.14,59765.14,59765.14,59765.14,0.06
2026-06-29 15:41:00+00:00,59730.11,59755.27,59701.15,59755.27,0.11065132
2026-06-29 15:42:00+00:00,59746.91,59747.27,59689.7,59689.7,0.004303
2026-06-29 15:43:00+00:00,59712.22,59804.11,59695.75,59787.7,0.4638898
2026-06-29 15:44:00+00:00,59798.53,59835.2,59797.36,59809.09,0.18257566
2026-06-29 15:45:00+00:00,59788.73,59823.83,59778.28,59812.92,0.32290692
2026-06-29 15:46:00+00:00,59808.27,59926.58,59796.56,59908.33,0.78113792
2026-06-29 15:47:00+00:00,59913.15,59913.15,59870.15,59870.15,0.10947767
2026-06-29 15:48:00+00:00,59877.84,59919.52,59859.79,59904.61,0.59459573
2026-06-29 15:49:00+00:00,59900.3,59909.82,59882.45,59909.82,0.22483826
2026-06-29 15:50:00+00:00,59905.79,59926.32,59886.79,59895.01,0.07943389
2026-06-29 15:52:00+00:00,59914.73,59914.73,59843.34,59889.77,0.17881902
2026-06-29 15:53:00+00:00,59889.78,59920.41,59872.04,59886.54,0.45165486
2026-06-29 15:54:00+00:00,59888.35,59888.35,59888.35,59888.35,0.002537
2026-06-29 15:55:00+00:00,59907.66,59920.51,59835.24,59835.24,0.06463435
2026-06-29 15:59:00+00:00,59799.02,59830.7,59799.02,59817.86,0.05073319
2026-06-29 16:00:00+00:00,59811.3,59821.2,59793.7,59819.02,0.21098504
2026-06-29 16:02:00+00:00,59791.18,59799.24,59766.59,59766.59,0.07292146
